word      count
----------------
the       741  
and       388  
to        325  
of        306  
in        215  
she       203  
it        179  
Alice     172  
was       164  
you       148  
said      143  
with      112  
her       107  
or        106  
that      105  
as        91   
at        88   
Project   83   
Gutenberg 83   
this      78   
all       77   
on        73   
had       65   
The       64   
for       64   
is        60   
little    57   
tm        57   
be        56   
out       55   
not       54   
down      50   
work      49   
any       47   
by        45   
up        44   
but       43   
they      42   
do        40   
about     40   
into      39   
very      38   
She       38   
are       35   
like      34   
one       34   
other     34   
herself   33   
when      32   
works     32   
Rabbit    31   
so        31   
from      31   
them      31   
were      30   
no        29   
You       28   
me        28   
again     28   
Queen     28   
could     27   
if        27   
electronic27   
Illustration26   
off       26   
which     26   
its       25   
then      25   
went      25   
came      25   
your      25   
It        24   
can       24   
King      24   
Foundation24   
Duchess   23   
what      23   
way       23   
door      23   
must      23   
more      23   
There     22   
time      22   
large     22   
found     22   
voice     22   
he        22   
go        22   
have      22   
Mouse     22   
know      22   
see       21   
ll        21   
now       21   
thought   20   
there     20   
an        20   
terms     19   
get       19   
great     19   
began     19   
quite     19   
who       19   
If        19   
may       18   
away      18   
looked    18   
moment    18   
some      18   
my        18   
re        17   
just      17   
upon      17   
round     17   
thing     17   
heard     17   
his       17   
agreement 17   
well      16   
think     16   
Oh        16   
first     16   
head      16   
only      16   
And       16   
got       16   
set       16   
such      16   
under     15   
without   15   
White     15   
back      15   
we        15   
last      15   
use       14   
much      14   
here      14   
over      14   
table     14   
high      14   
garden    14   
don       14   
ve        14   
full      14   
This      13   
org       13   
say       13   
dear      13   
took      13   
soon      13   
how       13   
find      13   
What      13   
hand      13   
two       13   
looking   13   
copyright 13   
Literary  13   
Archive   13   
copy      12   
OF        12   
nothing   12   
would     12   
did       12   
feet      12   
before    12   
should    12   
long      12   
low       12   
going     12   
once      12   
same      12   
will      12   
next      12   
house     12   
Caterpillar12   
donations 12   
THE       11   
made      11   
seemed    11   
make      11   
been      11   
cried     11   
near      11   
tone      11   
Hatter    11   
License   10   
http      10   
eyes      10   
ran       10   
never     10   
after     10   
than      10   
through   10   
half      10   
right     10   
size      10   
rather    10   
